Domain ,sector ,name ,
axisbank.com,bank,axis,
bandhanbank.com,bank,bandhan,
csb.co.in,bank,csb,
cityunionbank.com ,bank,cityunionbank,
dcbbank.com,bank,dcb,
dhanbank.com,bank,dhan,dhanlaxmi 
federalbank.co.in,bank,federal ,
hdfcbank.com,bank,hdfc,
icicibank.com,bank,icici,
indusind.com,bank,indusind,
idfcfirstbank.com,bank,idfcfirst,
jkbank.com,bank,j&k,
karnatakabank.com,bank,karnataka,
kvb.co.in,bank,karur vyasa,
kotak.com,bank,kotak,
nainitalbank.co.in,bank,nainital ,
rblbank.com,bank,rbl,
southindianbank.com,bank,south indian ,
tmb.in,bank,tamilnad mercantile ,
yesbank.in,bank,yes ,
idbibank.in,bank,idbi ,
coastalareabank.com,bank,coastal local area ,
kbsbankindia.in,bank,krishna bhima samruddhi ,
aubank.in,bank,au small finance ,
capitalbank.co.in,bank,capital small finance ,
fincarebank.com,bank,finance small finance ,
equitasbank.com,bank,equitas small finance ,
esafbank.com,bank,esaf small finance ,
suryodaybank.com,bank,suryoday small finance ,
ujjivansfb.in,bank,ujjivan small finance ,
utkarsh.bank,bank,utkarsh small finance ,
nesfb.com,bank,north east small finance ,
janabank.com,bank,jana small finance ,
shivalikbank.com,bank,shivalik small finance ,
theunitybank.com,bank,unity small finance ,
airtel.in,bank,airtel payments ,
ippbonline.com,bank,indian post payments ,
finobank.com,bank,fino payments ,
paytmbank.com,bank,paytm payments ,
jiopaymentsbank.com,bank,jio payments ,
nsdlbank.com,bank,nsdl payments ,
uobgroup.com,bank,uobgroup,
smbc.co.jp,bank,smbc,
sc.com,bank,sc,
sonalibank.in,bank,sonali,
societegenerale.asia,bank,societegenerale,
shinhanbankindia.com,bank,shinhan,
sbmbank.co.in,bank,sbm,
sberbank.co.in,bank,sber,
qnb.com,bank,qnb,
maybank.co.in,bank,maybank,
natwestmarkets.in,bank,natwest,
bk.mufg.jp,bank,mufg,
mashreqbank.com,bank,mashreq,
krungthai.com,bank,krungthai,
global.1qbank.com,bank,1qbank,
vtbindia.com,bank,vtb,
jpmorgan.com,bank,jpmorgan,
in.globalibk.com,bank,ibk,
india.icbc.com.cn,bank,icbc,
hsbc.co.in,bank,hsbc,
firstrand.co.in,bank,firstrand,
bankfab.com,bank,fab,
emiratesnbd.co.in,bank,emiratesnbd,
in.dohabank.com,bank,doha,
deutschebank.co.in,bank,deustche,
dbs.com,bank,dbs,
ctbcbank.com,bank,ctbc,
rabobank.com,bank,rabo,
online.citibank.co.in,bank,citi,
bnpparibas.co.in,bank,paribas,
scotiabank.com,bank,scotia,
bankofchina.com,bank,china,
bbkindia.com,bank,bbk,
barclays.in,bank,barclays,
anz.com,bank,anz,
americanexpress.com,bank,americanexpress,
abbl.com,bank,ab,
uttarakhandgraminbank.com,bank,uttarakhand,
vkgb.co.in,bank,vk,
ubkgb.org,bank,ubk,
utkalgrameenbank.co.in,bank,utkal,
ubgb.in,bank,ub,
tripuragraminbank.org,bank,tripura,
tgbhyd.in,bank,hyd,
tamilnadugramabank.com,bank,tamilnadu,
sgbrrb.org,bank,sgbrrb,
shgb.co.in,bank,sh,
saptagirigrameenabank.in,bank,saptagiri,
rmgb.in,bank,rm,
pgb.org.in,bank,pgb,
puduvaibharathiargramabank.in,bank,puduvaibharathiar,
prathamaupbank.com,bank,prathamaup,
pbgbank.com,bank,pb,
odishabank.in,bank,odisha,
nagalandruralbank.com,bank,nagaland,
mizoramruralbank.in,bank,mizoram,
meghalayaruralbank.co.in,bank,meghalaya,
manipurruralbank.com,bank,manipur,
mahagramin.in,bank,maha,
mgbank.co.in,bank,mg,
mpgb.co.in,bank,mp,
keralagbank.com,bank,kerala,
kvgbank.com,bank,kv,
karnatakagraminbank.com,bank,karnataka,
jkgb.in,bank,jk,
hpgb.in,bank,hp,
edb.org.in,bank,edb,
dbgb.in,bank,db,
cgbank.in,bank,cg,
cggb.in,bank,cggb,
barodaupbank.in,bank,barodaup,
brkgb.com,bank,brk,
bggb.in,bank,bg,
bgvb.in,bank,bgvb,
aryavart-rrb.com,bank,aryavart,
apgb.in,bank,ap,
apgvbank.in,bank,apgv,
agvbank.co.in,bank,agv,
sidbi.in,bank,sidbi,
nhb.org.in,bank,nhb,
eximbankindia.in,bank,exim,
nabard.org,bank,nabard,
unionbankonline.co.in,bank,union,
ucobank.com,bank,uco,
sbi.co.in,bank,sbi,
pnbindia.in,bank,pnb,
punjabandsindbank.co.in,bank,punjabandsind,
iob.in,bank,iob,
indianbank.in,bank,indian,
centralbankofindia.co.in,bank,central,
canarabank.com,bank,canara,
bankofmaharashtra.in,bank,ofmaharashtra,
bankofindia.co.in,bank,ofindia,
bankofbaroda.in,bank,ofbaroda,